Street Segment,Length,Type
AVERY_LN_7100_7199,1235.699,new
BROOKE LYNN_CT_7100_7161,849.992,new
BROOKE LYNN_CT_7162_7199,210.962,new
SUMMERFIELD_DR_3000_3039,249.000,new
SUMMERFIELD_DR_3040_3099,346.000,new
RESERVE_RAMP_N_EAST SIDE,1365.825,reconstruction
RESERVE_RAMP_N_WEST SIDE,1826.456,reconstruction
3RD_ST_S_W_2201_2235,406.234,overlay
3RD_ST_S_W_2236_2312,214.462,overlay
3RD_ST_S_W_2313_2335,242.215,overlay
3RD_ST_S_W_2326_2399,255.018,overlay
3RD_ST_S_W_2400_2417,226.041,overlay
3RD_ST_S_W_2418_2499,449.220,overlay
55TH_ST_2500_2599,551.253,overlay
AMERICAN_WAY_2900_3099,671.691,overlay
BRIGGS_ST_2300_2323,671.426,overlay
CARDINAL_DR_2600_2699,566.304,overlay
FRANKLIN_ST_W_100_199,390.841,overlay
FRANKLIN_ST_W_200_299,376.985,overlay
GHARRETT_ST_5500_5599,350.749,overlay
KENT_AVE_W_1000_1049,205.570,overlay
LATIMER_ST_3000_3099,775.050,overlay
LINDA VISTA_BLVD_6900_6999,1314.153,overlay
MAINVIEW_DR_5610_5703,202.959,overlay
NORTH_AVE_W_1500_1599,459.585,overlay
PALMER_ST_2600_2899,1504.658,overlay
PROSPECT_DR_5350_5399,367.602,overlay
REGENT_ST_2300_2399,342.447,overlay
RESERVE_RAMP_N_EAST SIDE,1365.825,overlay
RESERVE_RAMP_N_WEST SIDE,1826.456,overlay
ROLLINS_ST_600_699,464.014,overlay
ROLLINS_ST_700_799,456.668,overlay
SCOTT_ST_1000_1099,401.856,overlay
SCOTT_ST_700_799,359.508,overlay
SCOTT_ST_800_899,359.622,overlay
SCOTT_ST_900_999,373.564,overlay
42ND_ST_2300_2399,686.802,chipseal
42ND_ST_2400_2499,650.056,chipseal
43RD_ST_2300_2399,727.276,chipseal
43RD_ST_2400_2499,658.359,chipseal
55TH_ST_2300_2337,866.159,chipseal
55TH_ST_2340_2421,886.338,chipseal
55TH_ST_2422_2499,271.701,chipseal
55TH_ST_2500_2599,551.253,chipseal
ALLIANCE_WAY_91_118,877.199,chipseal
AMERICAN_WAY_2900_3099,671.691,chipseal
AMERICAN_WAY_3100_3299,912.108,chipseal
COTTER_CT_100_120,393.488,chipseal
ERIKA_CT_100_118,601.908,chipseal
FOSS_CT_E_100_127,498.195,chipseal
FOSS_CT_W_100_119,287.054,chipseal
GRANT_ST_1600_1609,187.716,chipseal
GRANT_ST_1610_1699,317.107,chipseal
GRANT_ST_1700_1799,328.228,chipseal
GRANT_ST_1800_1899,334.587,chipseal
GRANT_ST_1900_1999,333.496,chipseal
HEARTH_CT_100_123,364.237,chipseal
HILLVIEW_WAY_5600_5603,307.458,chipseal
HILLVIEW_WAY_5604_5699,598.455,chipseal
HILLVIEW_WAY_5700_5799,372.481,chipseal
HILLVIEW_WAY_5800_5899,291.742,chipseal
HILLVIEW_WAY_5900_5999,282.463,chipseal
HILLVIEW_WAY_6000_6098,632.617,chipseal
HILLVIEW_WAY_6100_6104,186.669,chipseal
HILLVIEW_WAY_6105_6110,307.550,chipseal
HILLVIEW_WAY_6111_6123,480.157,chipseal
HILLVIEW_WAY_6124_6149,124.833,chipseal
HILLVIEW_WAY_6150_6199,548.144,chipseal
HILLVIEW_WAY_6200_6299,220.395,chipseal
HILLVIEW_WAY_6218_6317,1071.254,chipseal
HILLVIEW_WAY_6310_6325,451.308,chipseal
LATIMER_ST_2400_2699,643.805,chipseal
LATIMER_ST_2900_2999,307.212,chipseal
LATIMER_ST_3000_3099,775.050,chipseal
LINDA VISTA_BLVD_5600_5699,397.447,chipseal
LINDA VISTA_BLVD_5700_5899,377.683,chipseal
LINDA VISTA_BLVD_5900_5911,391.968,chipseal
LINDA VISTA_BLVD_5912_6104,587.980,chipseal
LINDA VISTA_BLVD_6101_6305,792.532,chipseal
LINDA VISTA_BLVD_6300_6399,311.403,chipseal
LINDA VISTA_BLVD_6400_6498,607.514,chipseal
LINDA VISTA_BLVD_6500_6575,576.096,chipseal
LINDA VISTA_BLVD_6576_6599,169.624,chipseal
LINDA VISTA_BLVD_6600_6615,129.675,chipseal
LINDA VISTA_BLVD_6612_6669,548.341,chipseal
LINDA VISTA_BLVD_6666_6699,491.505,chipseal
LONGVIEW_DR_5600_5610,720.168,chipseal
MAINVIEW_DR_5800_5899,314.380,chipseal
MAINVIEW_DR_5900_5999,305.954,chipseal
MAINVIEW_DR_6000_6099,385.726,chipseal
MAINVIEW_DR_6100_6112,317.016,chipseal
PALMER_ST_2600_2899,1504.658,chipseal
PALMER_ST_2900_3099,710.985,chipseal
PALMER_ST_3100_3299,922.027,chipseal
RATTLESNAKE_DR_2000_2099,419.466,chipseal
RATTLESNAKE_DR_2100_2123,341.015,chipseal
RATTLESNAKE_DR_2124_2199,349.031,chipseal
RATTLESNAKE_DR_2200_2232,388.411,chipseal
RATTLESNAKE_DR_2233_2299,263.265,chipseal
RATTLESNAKE_DR_2300_2399,478.143,chipseal
RATTLESNAKE_DR_2400_2499,356.479,chipseal
RATTLESNAKE_DR_2500_2599,640.651,chipseal
RATTLESNAKE_DR_2600_2637,199.857,chipseal
RATTLESNAKE_DR_2638_2649,83.189,chipseal
RATTLESNAKE_DR_2650_2699,202.577,chipseal
RATTLESNAKE_DR_2700_2711,98.245,chipseal
RATTLESNAKE_DR_2712_2725,294.675,chipseal
RATTLESNAKE_DR_2726_2899,270.628,chipseal
RATTLESNAKE_DR_2900_2999,151.785,chipseal
RATTLESNAKE_DR_3000_3017,171.902,chipseal
RATTLESNAKE_DR_3018_3024,123.525,chipseal
RATTLESNAKE_DR_3025_3099,194.250,chipseal
RATTLESNAKE_DR_3100_3199,300.730,chipseal
RATTLESNAKE_DR_3200_3299,251.326,chipseal
RATTLESNAKE_DR_3300_3399,293.888,chipseal
RATTLESNAKE_DR_3404_3599,619.658,chipseal
RUSSELL_ST_1600_1699,358.341,chipseal
RUSSELL_ST_1700_1799,334.114,chipseal
RUSSELL_ST_1800_1899,321.741,chipseal
RUSSELL_ST_1900_1999,324.960,chipseal
RUSSELL_ST_2000_2099,318.990,chipseal
RUSSELL_ST_2100_2199,344.697,chipseal
RUSSELL_ST_2200_2299,322.073,chipseal
RUSSELL_ST_2400_2499,83.551,chipseal
SKYVIEW_DR_5800_5899,328.049,chipseal
SKYVIEW_DR_5900_5999,170.198,chipseal
SKYVIEW_DR_6000_6099,282.201,chipseal
SKYVIEW_DR_6100_6117,657.697,chipseal
SKYVIEW_DR_6118_6121,309.870,chipseal
SOUTHRIDGE_DR_100_117,950.775,chipseal
SOUTHRIDGE_DR_118_122,360.095,chipseal
SOUTHRIDGE_DR_123_128,331.564,chipseal
VAIL_CT_100_120,495.664,chipseal
